Employee Category ,Year,Month,Type,Total_Strength
OMANI,2019,September,OUT,16
STAFF,2019,April    ,IN,2
STAFF,2019,April    ,OUT,10
STAFF,2019,August   ,IN,4
STAFF,2019,August   ,OUT,7
STAFF,2019,December ,IN,3
STAFF,2019,December ,OUT,13
STAFF,2019,February ,IN,12
STAFF,2019,February ,OUT,9
STAFF,2019,January  ,IN,9
STAFF,2019,January  ,OUT,7
STAFF,2019,July     ,IN,5
STAFF,2019,July     ,OUT,13
STAFF,2019,June     ,IN,1
STAFF,2019,June     ,OUT,16
STAFF,2019,March    ,IN,8
STAFF,2019,March    ,OUT,11
STAFF,2019,May      ,IN,2
STAFF,2019,May      ,OUT,16
STAFF,2019,November ,IN,1
STAFF,2019,November ,OUT,12
STAFF,2019,October  ,IN,8
STAFF,2019,October  ,OUT,11
STAFF,2019,September,IN,3
STAFF,2019,September,OUT,6
TRAINEE,2019,December ,IN,6
TRAINEE,2019,December ,OUT,1
TRAINEE,2019,February ,IN,1
TRAINEE,2019,February ,OUT,2
TRAINEE,2019,January  ,IN,2
TRAINEE,2019,November ,IN,3
TRAINEE,2019,September,OUT,1
LABOUR,2020,April    ,OUT,13
LABOUR,2020,August   ,OUT,74
LABOUR,2020,December ,OUT,32
LABOUR,2020,February ,IN,2
LABOUR,2020,February ,OUT,113
LABOUR,2020,January  ,IN,8
LABOUR,2020,January  ,OUT,98
LABOUR,2020,July     ,OUT,33
LABOUR,2020,June     ,IN,5
LABOUR,2020,June     ,OUT,2
LABOUR,2020,March    ,OUT,69
LABOUR,2020,May      ,OUT,4
LABOUR,2020,November ,OUT,31
LABOUR,2020,October  ,OUT,78
LABOUR,2020,September,OUT,92
LIMITED_CONTRACT,2020,December ,IN,63
LIMITED_CONTRACT,2020,December ,OUT,13
LIMITED_CONTRACT,2020,November ,IN,34
LIMITED_CONTRACT,2020,November ,OUT,39
LIMITED_CONTRACT,2020,October  ,IN,171
LIMITED_CONTRACT,2020,September,IN,5
OMANI,2020,April    ,OUT,3
OMANI,2020,August   ,IN,5
OMANI,2020,August   ,OUT,6
OMANI,2020,December ,IN,9
OMANI,2020,December ,OUT,4
OMANI,2020,February ,IN,13
OMANI,2020,February ,OUT,27
OMANI,2020,January  ,IN,3
OMANI,2020,January  ,OUT,6
OMANI,2020,July     ,IN,1
OMANI,2020,July     ,OUT,8
OMANI,2020,June     ,IN,1
OMANI,2020,June     ,OUT,5
OMANI,2020,March    ,IN,10
OMANI,2020,March    ,OUT,7
OMANI,2020,May      ,OUT,3
OMANI,2020,November ,IN,4
OMANI,2020,November ,OUT,2
OMANI,2020,October  ,IN,11
OMANI,2020,October  ,OUT,2
OMANI,2020,September,IN,2
OMANI,2020,September,OUT,2
STAFF,2020,August   ,IN,5
STAFF,2020,August   ,OUT,3
STAFF,2020,December ,IN,28
STAFF,2020,December ,OUT,9
STAFF,2020,February ,IN,4
STAFF,2020,February ,OUT,3
STAFF,2020,January  ,IN,5
STAFF,2020,January  ,OUT,6
STAFF,2020,July     ,IN,8
STAFF,2020,July     ,OUT,18
STAFF,2020,June     ,IN,2
STAFF,2020,June     ,OUT,7
STAFF,2020,March    ,IN,9
STAFF,2020,March    ,OUT,9
STAFF,2020,November ,IN,6
STAFF,2020,November ,OUT,5
STAFF,2020,October  ,IN,15
STAFF,2020,October  ,OUT,6
STAFF,2020,September,IN,7
STAFF,2020,September,OUT,8
TRAINEE,2020,December ,IN,11
TRAINEE,2020,December ,OUT,2
TRAINEE,2020,February ,IN,1
TRAINEE,2020,February ,OUT,1
TRAINEE,2020,July     ,OUT,3
TRAINEE,2020,June     ,IN,1
TRAINEE,2020,June     ,OUT,2
TRAINEE,2020,March    ,OUT,3
TRAINEE,2020,May      ,IN,1
TRAINEE,2020,November ,OUT,3
TRAINEE,2020,October  ,OUT,1
TRAINEE,2020,September,IN,4
TRAINEE,2020,September,OUT,1
LABOUR,2021,April    ,IN,17
LABOUR,2021,April    ,OUT,32
LABOUR,2021,August   ,OUT,11
LABOUR,2021,December ,IN,114
LABOUR,2021,December ,OUT,35
LABOUR,2021,February ,IN,37
LABOUR,2021,February ,OUT,43
LABOUR,2021,January  ,IN,4
LABOUR,2021,January  ,OUT,78
LABOUR,2021,July     ,OUT,18
LABOUR,2021,June     ,OUT,17
LABOUR,2021,March    ,IN,41
LABOUR,2021,March    ,OUT,41
LABOUR,2021,May      ,OUT,35
LABOUR,2021,November ,IN,79
LABOUR,2021,November ,OUT,22
LABOUR,2021,October  ,IN,10
LABOUR,2021,October  ,OUT,34
LABOUR,2021,September,IN,5
LABOUR,2021,September,OUT,21
LIMITED_CONTRACT,2021,April    ,OUT,3
LIMITED_CONTRACT,2021,February ,IN,18
LIMITED_CONTRACT,2021,February ,OUT,10
LIMITED_CONTRACT,2021,January  ,IN,4
LIMITED_CONTRACT,2021,January  ,OUT,16
LIMITED_CONTRACT,2021,March    ,IN,4
LIMITED_CONTRACT,2021,March    ,OUT,211
LIMITED_CONTRACT,2021,May      ,OUT,7
OMANI,2021,April    ,IN,24
OMANI,2021,April    ,OUT,4
OMANI,2021,August   ,IN,7
OMANI,2021,August   ,OUT,2
OMANI,2021,December ,IN,15
OMANI,2021,December ,OUT,12
OMANI,2021,February ,IN,17
OMANI,2021,February ,OUT,12
OMANI,2021,January  ,IN,4
OMANI,2021,January  ,OUT,4
OMANI,2021,July     ,IN,16
OMANI,2021,July     ,OUT,4
OMANI,2021,June     ,IN,8
OMANI,2021,June     ,OUT,6
OMANI,2021,March    ,IN,8
OMANI,2021,March    ,OUT,13
OMANI,2021,May      ,IN,10
OMANI,2021,May      ,OUT,9
OMANI,2021,November ,IN,17
OMANI,2021,November ,OUT,10
OMANI,2021,October  ,IN,9
OMANI,2021,October  ,OUT,9
OMANI,2021,September,IN,17
OMANI,2021,September,OUT,10
STAFF,2021,April    ,IN,10
STAFF,2021,April    ,OUT,11
STAFF,2021,August   ,IN,8
STAFF,2021,August   ,OUT,4
STAFF,2021,December ,IN,2
STAFF,2021,December ,OUT,10
STAFF,2021,February ,IN,14
STAFF,2021,February ,OUT,2
STAFF,2021,January  ,IN,9
STAFF,2021,January  ,OUT,7
STAFF,2021,July     ,IN,2
STAFF,2021,July     ,OUT,6
STAFF,2021,June     ,IN,9
STAFF,2021,June     ,OUT,6
STAFF,2021,March    ,IN,19
STAFF,2021,March    ,OUT,11
STAFF,2021,May      ,IN,5
STAFF,2021,May      ,OUT,9
STAFF,2021,November ,IN,26
STAFF,2021,November ,OUT,13
STAFF,2021,October  ,IN,21
STAFF,2021,October  ,OUT,7
STAFF,2021,September,IN,5
STAFF,2021,September,OUT,9
TRAINEE,2021,April    ,IN,11
TRAINEE,2021,April    ,OUT,2
TRAINEE,2021,August   ,IN,9
TRAINEE,2021,August   ,OUT,12
TRAINEE,2021,December ,OUT,6
TRAINEE,2021,February ,IN,6
TRAINEE,2021,February ,OUT,2
TRAINEE,2021,January  ,IN,1
TRAINEE,2021,January  ,OUT,11
TRAINEE,2021,July     ,IN,7
TRAINEE,2021,July     ,OUT,4
TRAINEE,2021,June     ,IN,5
TRAINEE,2021,June     ,OUT,5
TRAINEE,2021,March    ,IN,4
TRAINEE,2021,March    ,OUT,7
TRAINEE,2021,May      ,IN,4
TRAINEE,2021,May      ,OUT,8
TRAINEE,2021,November ,IN,7
TRAINEE,2021,November ,OUT,6
TRAINEE,2021,October  ,IN,5
TRAINEE,2021,October  ,OUT,3
TRAINEE,2021,September,IN,3
LABOUR,2022,April    ,IN,51
LABOUR,2022,April    ,OUT,23
LABOUR,2022,August   ,IN,14
LABOUR,2022,August   ,OUT,21
LABOUR,2022,December ,IN,120
LABOUR,2022,December ,OUT,36
LABOUR,2022,February ,IN,102
LABOUR,2022,February ,OUT,22
LABOUR,2022,January  ,IN,43
LABOUR,2022,January  ,OUT,34
LABOUR,2022,July     ,IN,50
LABOUR,2022,July     ,OUT,22
LABOUR,2022,June     ,IN,37
LABOUR,2022,June     ,OUT,20
LABOUR,2022,March    ,IN,284
LABOUR,2022,March    ,OUT,58
LABOUR,2022,May      ,IN,7
LABOUR,2022,May      ,OUT,27
LABOUR,2022,November ,IN,51
LABOUR,2022,November ,OUT,41
LABOUR,2022,October  ,IN,24
LABOUR,2022,October  ,OUT,30
LABOUR,2022,September,IN,29
LABOUR,2022,September,OUT,39
OMANI,2022,April    ,IN,10
OMANI,2022,April    ,OUT,9
OMANI,2022,August   ,IN,21
OMANI,2022,August   ,OUT,15
OMANI,2022,December ,IN,5
OMANI,2022,December ,OUT,7
OMANI,2022,February ,IN,10
OMANI,2022,February ,OUT,11
OMANI,2022,January  ,IN,10
OMANI,2022,January  ,OUT,11
OMANI,2022,July     ,IN,21
OMANI,2022,July     ,OUT,12
OMANI,2022,June     ,IN,29
OMANI,2022,June     ,OUT,20
OMANI,2022,March    ,IN,27
OMANI,2022,March    ,OUT,9
OMANI,2022,May      ,IN,24
OMANI,2022,May      ,OUT,13
OMANI,2022,November ,IN,21
OMANI,2022,November ,OUT,16
OMANI,2022,October  ,IN,11
OMANI,2022,October  ,OUT,9
OMANI,2022,September,IN,35
OMANI,2022,September,OUT,14
STAFF,2022,April    ,IN,5
STAFF,2022,April    ,OUT,13
STAFF,2022,August   ,IN,27
STAFF,2022,August   ,OUT,9
STAFF,2022,December ,IN,13
STAFF,2022,December ,OUT,10
STAFF,2022,February ,IN,7
STAFF,2022,February ,OUT,6
STAFF,2022,January  ,IN,5
STAFF,2022,January  ,OUT,12
STAFF,2022,July     ,IN,16
STAFF,2022,July     ,OUT,9
STAFF,2022,June     ,IN,7
STAFF,2022,June     ,OUT,3
STAFF,2022,March    ,IN,4
STAFF,2022,March    ,OUT,17
STAFF,2022,May      ,IN,7
STAFF,2022,May      ,OUT,10
STAFF,2022,November ,IN,7
STAFF,2022,November ,OUT,9
STAFF,2022,October  ,IN,15
STAFF,2022,October  ,OUT,16
STAFF,2022,September,IN,22
STAFF,2022,September,OUT,22
TRAINEE,2022,April    ,IN,7
TRAINEE,2022,April    ,OUT,6
TRAINEE,2022,August   ,IN,6
TRAINEE,2022,August   ,OUT,5
TRAINEE,2022,December ,IN,3
TRAINEE,2022,December ,OUT,2
TRAINEE,2022,February ,IN,7
TRAINEE,2022,February ,OUT,1
TRAINEE,2022,January  ,IN,1
TRAINEE,2022,July     ,IN,6
TRAINEE,2022,July     ,OUT,5
TRAINEE,2022,June     ,IN,9
TRAINEE,2022,June     ,OUT,9
TRAINEE,2022,March    ,IN,6
TRAINEE,2022,March    ,OUT,4
TRAINEE,2022,May      ,IN,8
TRAINEE,2022,May      ,OUT,12
TRAINEE,2022,November ,IN,3
TRAINEE,2022,November ,OUT,2
TRAINEE,2022,October  ,IN,4
TRAINEE,2022,October  ,OUT,8
TRAINEE,2022,September,IN,2
TRAINEE,2022,September,OUT,8
LABOUR,2023,April    ,IN,10
LABOUR,2023,April    ,OUT,19
LABOUR,2023,August   ,IN,1
LABOUR,2023,August   ,OUT,29
LABOUR,2023,December ,IN,3
LABOUR,2023,December ,OUT,56
LABOUR,2023,February ,IN,25
LABOUR,2023,February ,OUT,48
LABOUR,2023,January  ,IN,45
LABOUR,2023,January  ,OUT,36
LABOUR,2023,July     ,IN,2
LABOUR,2023,July     ,OUT,33
LABOUR,2023,June     ,IN,9
LABOUR,2023,June     ,OUT,20
LABOUR,2023,March    ,IN,22
LABOUR,2023,March    ,OUT,41
LABOUR,2023,May      ,IN,26
LABOUR,2023,May      ,OUT,28
LABOUR,2023,November ,IN,8
LABOUR,2023,November ,OUT,45
LABOUR,2023,October  ,IN,6
LABOUR,2023,October  ,OUT,101
LABOUR,2023,September,IN,14
LABOUR,2023,September,OUT,52
OMANI,2023,April    ,IN,4
OMANI,2023,April    ,OUT,3
OMANI,2023,August   ,IN,1
OMANI,2023,August   ,OUT,7
OMANI,2023,December ,IN,5
OMANI,2023,December ,OUT,7
OMANI,2023,February ,IN,11
OMANI,2023,February ,OUT,7
OMANI,2023,January  ,IN,13
OMANI,2023,January  ,OUT,14
OMANI,2023,July     ,IN,4
OMANI,2023,July     ,OUT,5
OMANI,2023,June     ,IN,5
OMANI,2023,June     ,OUT,12
OMANI,2023,March    ,IN,14
OMANI,2023,March    ,OUT,12
OMANI,2023,May      ,IN,9
OMANI,2023,May      ,OUT,14
OMANI,2023,November ,IN,5
OMANI,2023,November ,OUT,18
OMANI,2023,October  ,IN,5
OMANI,2023,October  ,OUT,10
OMANI,2023,September,IN,4
OMANI,2023,September,OUT,6
STAFF,2023,April    ,IN,6
STAFF,2023,April    ,OUT,7
STAFF,2023,August   ,IN,4
STAFF,2023,August   ,OUT,22
STAFF,2023,December ,IN,7
STAFF,2023,December ,OUT,8
STAFF,2023,February ,IN,14
STAFF,2023,February ,OUT,15
STAFF,2023,January  ,IN,26
STAFF,2023,January  ,OUT,8
STAFF,2023,July     ,IN,6
STAFF,2023,July     ,OUT,17
STAFF,2023,June     ,IN,11
STAFF,2023,June     ,OUT,12
STAFF,2023,March    ,IN,22
STAFF,2023,March    ,OUT,13
STAFF,2023,May      ,IN,7
STAFF,2023,May      ,OUT,11
STAFF,2023,November ,IN,5
STAFF,2023,November ,OUT,12
STAFF,2023,October  ,IN,11
STAFF,2023,October  ,OUT,16
STAFF,2023,September,IN,8
STAFF,2023,September,OUT,15
TRAINEE,2023,April    ,OUT,2
TRAINEE,2023,August   ,IN,1
TRAINEE,2023,August   ,OUT,1
TRAINEE,2023,December ,IN,2
TRAINEE,2023,February ,IN,1
TRAINEE,2023,February ,OUT,3
TRAINEE,2023,January  ,IN,3
TRAINEE,2023,January  ,OUT,5
TRAINEE,2023,July     ,IN,2
TRAINEE,2023,July     ,OUT,4
TRAINEE,2023,June     ,IN,3
TRAINEE,2023,June     ,OUT,2
TRAINEE,2023,March    ,IN,2
TRAINEE,2023,March    ,OUT,2
TRAINEE,2023,May      ,IN,6
TRAINEE,2023,May      ,OUT,3
TRAINEE,2023,November ,IN,1
TRAINEE,2023,November ,OUT,1
TRAINEE,2023,October  ,IN,1
TRAINEE,2023,September,IN,1
TRAINEE,2023,September,OUT,3
LABOUR,2024,April    ,IN,12
LABOUR,2024,April    ,OUT,17
LABOUR,2024,August   ,IN,1
LABOUR,2024,August   ,OUT,35
LABOUR,2024,December ,IN,13
LABOUR,2024,December ,OUT,42
LABOUR,2024,February ,OUT,61
LABOUR,2024,January  ,OUT,32
LABOUR,2024,July     ,IN,5
LABOUR,2024,July     ,OUT,15
LABOUR,2024,June     ,IN,8
LABOUR,2024,June     ,OUT,47
LABOUR,2024,March    ,IN,4
LABOUR,2024,March    ,OUT,63
LABOUR,2024,May      ,IN,66
LABOUR,2024,May      ,OUT,26
LABOUR,2024,November ,IN,4
LABOUR,2024,November ,OUT,43
LABOUR,2024,October  ,IN,2
LABOUR,2024,October  ,OUT,49
LABOUR,2024,September,IN,14
LABOUR,2024,September,OUT,117
OMANI,2024,April    ,IN,3
OMANI,2024,April    ,OUT,5
OMANI,2024,August   ,IN,9
OMANI,2024,August   ,OUT,9
OMANI,2024,December ,IN,8
OMANI,2024,December ,OUT,7
OMANI,2024,February ,IN,6
OMANI,2024,February ,OUT,2
OMANI,2024,January  ,IN,8
OMANI,2024,January  ,OUT,19
OMANI,2024,July     ,IN,19
OMANI,2024,July     ,OUT,11
OMANI,2024,June     ,IN,16
OMANI,2024,June     ,OUT,13
OMANI,2024,March    ,IN,7
OMANI,2024,March    ,OUT,11
OMANI,2024,May      ,IN,10
OMANI,2024,May      ,OUT,10
OMANI,2024,November ,IN,6
OMANI,2024,November ,OUT,7
OMANI,2024,October  ,IN,12
OMANI,2024,October  ,OUT,4
OMANI,2024,September,IN,7
OMANI,2024,September,OUT,5
STAFF,2024,April    ,IN,9
STAFF,2024,April    ,OUT,9
STAFF,2024,August   ,IN,17
STAFF,2024,August   ,OUT,7
STAFF,2024,December ,IN,17
STAFF,2024,December ,OUT,22
STAFF,2024,February ,IN,5
STAFF,2024,February ,OUT,10
STAFF,2024,January  ,IN,5
STAFF,2024,January  ,OUT,11
STAFF,2024,July     ,IN,21
STAFF,2024,July     ,OUT,4
STAFF,2024,June     ,IN,28
STAFF,2024,June     ,OUT,14
STAFF,2024,March    ,IN,11
STAFF,2024,March    ,OUT,9
STAFF,2024,May      ,IN,13
STAFF,2024,May      ,OUT,10
STAFF,2024,November ,IN,13
STAFF,2024,November ,OUT,8
STAFF,2024,October  ,IN,19
STAFF,2024,October  ,OUT,12
STAFF,2024,September,IN,18
STAFF,2024,September,OUT,13
TRAINEE,2024,April    ,IN,3
TRAINEE,2024,April    ,OUT,2
TRAINEE,2024,August   ,OUT,1
TRAINEE,2024,February ,IN,3
TRAINEE,2024,January  ,OUT,3
TRAINEE,2024,July     ,IN,7
TRAINEE,2024,July     ,OUT,3
TRAINEE,2024,June     ,IN,2
TRAINEE,2024,June     ,OUT,1
TRAINEE,2024,May      ,IN,3
TRAINEE,2024,May      ,OUT,1
TRAINEE,2024,November ,IN,1
TRAINEE,2024,October  ,IN,1
TRAINEE,2024,October  ,OUT,1
TRAINEE,2024,September,IN,3
LABOUR,2025,April    ,IN,85
LABOUR,2025,April    ,OUT,9
LABOUR,2025,February ,IN,8
LABOUR,2025,February ,OUT,25
LABOUR,2025,January  ,IN,15
LABOUR,2025,January  ,OUT,45
LABOUR,2025,June     ,OUT,1
LABOUR,2025,March    ,IN,52
LABOUR,2025,March    ,OUT,33
LABOUR,2025,May      ,IN,33
LABOUR,2025,May      ,OUT,20
OMANI,2025,April    ,IN,14
OMANI,2025,April    ,OUT,6
OMANI,2025,February ,IN,5
OMANI,2025,February ,OUT,9
OMANI,2025,January  ,IN,6
OMANI,2025,January  ,OUT,6
OMANI,2025,March    ,IN,1
OMANI,2025,March    ,OUT,3
OMANI,2025,May      ,OUT,1
STAFF,2025,April    ,IN,11
STAFF,2025,April    ,OUT,12
STAFF,2025,February ,IN,16
STAFF,2025,February ,OUT,14
STAFF,2025,January  ,IN,14
STAFF,2025,January  ,OUT,8
STAFF,2025,March    ,IN,16
STAFF,2025,March    ,OUT,13
STAFF,2025,May      ,IN,3
STAFF,2025,May      ,OUT,3
TRAINEE,2025,April    ,IN,3
TRAINEE,2025,April    ,OUT,5
TRAINEE,2025,February ,IN,7
TRAINEE,2025,February ,OUT,4
TRAINEE,2025,January  ,IN,2
TRAINEE,2025,June     ,IN,1
TRAINEE,2025,March    ,IN,1
TRAINEE,2025,May      ,IN,2
STAFF,3025,May      ,OUT,1
LABOUR,,,IN,2
LABOUR,,,OUT,2306
OMANI,,,OUT,483
STAFF,,,IN,1
STAFF,,,OUT,636
TRAINEE,,,OUT,23
